name	HU_neg_017	HU_neg_028	HU_neg_034	HU_neg_051	HU_neg_060	HU_neg_078	HU_neg_091	HU_neg_093	HU_neg_099	HU_neg_110	HU_neg_130	HU_neg_134	HU_neg_138	HU_neg_149	HU_neg_152	HU_neg_175	HU_neg_178	HU_neg_185	HU_neg_204	HU_neg_208	QC1_001	QC1_002	QC1_003	QC1_005	QC1_006	QC1_008	QC1_009	QC1_011	QC1_012	QC1_014
M100T293	122182.441049398	458051.66738991	534315.758465121	120353.341508074	466052.252031738	495258.884507635	402408.971827591	628919.59275016	331821.198136338	291689.095793762	419174.736308873	233864.478059766	879978.518092216	624492.234591346	519870.587007325	677484.417084167	196560.901255461	216731.950906361	489334.648655266	193497.068842567	530200.357541814	514439.309850586	530645.499851118	512835.692704546	601580.771364781	489618.520918067	487936.519199121	437311.735782022	391400.48420121	355534.617093173
M101T66	175335.651547845	2440557.22173118	199101.833312864	212719.18068114	1386352.34494801	603362.501764645	796017.782501505	323436.940766576	939502.986952031	793723.737206117	459985.636839387	586594.522566301	766332.883316764	1116529.04979202	1188246.24397679	1247207.89201002	809018.30729534	179260.092783398	413242.558574411	210480.833963108	828103.074829614	828199.303721776	854181.53649014	814040.752018996	812790.0924244	698866.583048385	670489.997106197	560211.185537004	518430.953495508	411015.296635925
M103T50	2368639.34843019	4972556.30193418	2579910.48306082	1244783.05987762	3677953.9184094	3826721.7419726	3739949.05616798	3057231.20030917	2952034.81115151	4142762.81112328	3727426.72593072	4466240.68272578	1702599.46820741	1734602.10489298	1554240.77487035	1919837.88426521	2168173.8818862	1596942.46214899	219409.508756226	1313258.09702903	3961560.98653908	3854518.51954431	3853197.33136604	3438655.94608	3538440.62256934	2783273.37122035	2715813.18066792	2166395.54808199	2037416.97206235	1672509.56070083
M103T1017	476412.011144123	264758.358864608	231439.08577563	735637.422312058	642318.343121344	746260.910791867	822147.312601966	909522.58067797	990799.839944825	1030176.09278898	1014080.10682037	1054436.04822525	1035845.61567024	1112089.3409614	1117496.73189056	1110145.9288571	1053603.66551465	1107175.1882257	993598.166153481	1023958.84570312	400323.815324999	608490.397048818	720668.49739631	890607.605354636	1016693.03557471	1038816.64197903	1119044.24367747	1115428.20419953	1090545.78108073	957748.742922246
M103T150	3038664.74730828	15036158.0622098	5266246.78048698	2050987.57960138	14549186.3664678	12574082.3997294	15913566.2602543	3972085.09856484	12615832.51431	1749397.43450342	9440977.77508301	10484818.0231234	9685443.84395313	6204070.81975034	4765937.00083907	7427719.97214167	4913541.99805523	1021667.81331806	6124593.53600305	989064.386127047	11959543.3789889	11002335.7932188	11194015.6659928	10359557.724062	10260701.2982629	7827712.46017578	7150243.79265409	5531038.31091094	4621219.40882357	3466609.75217969
M104T150	44193.4440531445	392159.126707392	96922.079895473	9951.70590115792	422127.754580995	348624.638165039	493937.940445256	55225.2751236369	375575.902392761	17722.1234321185	285450.358839084	308420.48259002	273893.221567881	180031.857314897	125843.861675375	224165.219198812	132722.649917826	12956.808557017	188176.276779208	19390.3009821644	300883.636595938	275702.911713449	286811.020822425	273867.550486847	283093.83814545	226952.063877271	195967.250008933	155476.876827435	135543.786362634	104812.221405257
M105T52	1064454.65301771	2004942.45710734	1160130.19335539	1011776.91939813	1738474.59406771	1902817.14129055	1699009.79527293	1351704.6764766	1436365.95611944	1445098.81367147	1515703.47255463	1969452.99461257	908170.7424375	957412.815888908	787404.742324886	1569919.08756784	901677.785223016	585461.079014202	122541.255829929	513343.335761871	1734787.84324076	1718329.96843487	1729716.71688488	1623318.85963291	1562779.0956312	1317170.19473856	1258807.42720133	1010145.13818319	929594.376030649	726778.642533825
M107T380	487182.228704287	8068264.33259838	1645222.3219715	642086.287268515	23105118.182051	4074719.91081361	10451125.0028227	2533217.73474664	2445220.19863516	3785159.20134127	2154828.99543759	9728839.6916771	10837335.9041589	20462197.8197196	10724753.9752273	10651033.1848414	2916178.05262907	1861729.32586436	14009766.7404516	1335899.41989814	5086497.43236226	6324789.86945957	6516777.26003925	7461381.27831519	7852472.83595741	8428548.95214947	7834396.78183965	7708733.44739809	7519844.43993715	6755985.5689965
M108T379	24601.5021048018	408208.218938965	67592.6167286109	12843.072285498	1151077.93592503	141178.377102897	566708.548507191	132067.672135901	130197.566748833	199314.202442734	102506.671783103	495782.717860317	560914.856380209	1137356.91314058	595745.237069935	586895.149449638	148812.19644458	91807.3895078404	785674.499008471	72282.9671547298	244468.898763444	313804.990422863	293579.99574136	370802.362442239	390027.283650579	438145.983447861	398248.334752442	411219.504284029	411494.869534218	388504.771064769
M109T52	2810753.54090934	3664607.21108943	1301354.95474297	1184905.02434659	4365268.14828237	3338359.88465287	1916651.12088379	2252319.47442434	2350014.34966841	3195728.72380094	2022778.5256726	2115894.83370491	837549.745336134	958238.386062574	1124904.73132338	1630041.99522617	824869.863393553	743556.498295825	511346.355876766	777960.095769736	2802555.58304892	2723834.59094612	2736400.99418408	2435565.41540896	2456276.36545266	2010291.69663682	1914501.55022131	1521465.72108956	1491702.85741645	1163597.40889054
M109T296	401806.134864649	1451146.01670232	956288.126535962	465138.274352523	2531189.51110893	1419961.35209912	2380465.55493591	1664584.39030903	1380524.2349226	617635.794515426	2424791.36736956	3371411.39022596	1861635.17804438	1180789.44305974	1840128.44868838	1089537.37503013	2636837.73290055	293542.592777994	2369471.40759627	445964.224667316	1065596.97632591	1313524.68131384	1287834.97849749	1570788.10109025	1645061.541594	1706023.57497069	1817763.42527425	1735692.17706199	1814285.16769795	1686379.25121859
M111T61	2767852.50567327	6709212.54258028	2902537.18880417	1312476.989304	6829508.27047233	6752717.13982401	4664214.14343116	4423239.97426636	5186709.25547888	4137446.96249595	4162527.61376618	5931109.00398739	3647484.93184766	4341926.67028698	3560741.33560775	4257325.28774984	3162838.78695452	1088963.95817311	3455402.15707088	1287754.15884963	5099334.08575174	5260854.32485814	5033894.7519633	4985401.30826644	4895651.84019809	3952383.95191043	3914963.67323313	3507380.21301621	3249333.97083846	2847801.59954573
M111T98	1930650.7412184	10495849.2689679	4515213.90720944	1209549.2085097	10041048.9945634	10289281.1985634	8724617.15592676	7006845.25525822	9343417.72882141	4657690.44801974	6864822.38192528	9900690.93548182	7083988.20076531	8856838.74207667	6194149.21942366	7349292.83843489	5444271.27835078	1391067.83459106	5982239.99209474	2057464.76935375	8558447.29870784	8488182.96892727	8132536.95971173	8004926.70860654	8147956.37734017	7165131.8946101	6900549.8953745	5639811.18557441	5313150.29126498	4259032.99753728
M112T67	276682.483536308	1345355.67538097	572946.190994057	271206.5294172	2130115.53012799	1859986.44652683	1507138.00924058	504285.361413922	1506356.8932604	312163.032016126	1039208.09974988	1918819.4345772	1882723.46565985	1860411.92344468	1091687.93192753	503372.798996334	502941.152332633	136610.70197773	1704800.56668489	163046.291002332	2128262.79837679	1380390.70837534	1599280.57699283	1428863.04561428	1231418.33386302	912453.621178034	224909.748513099	622838.026619794	506813.112554948	362054.316639836
M113T48	9427767.86569123	4070711.02187209	6984532.7124408	9186828.73465505	2766678.59884033	3392460.00911566	2831439.2678811	7607729.33725401	2061443.59878477	7216579.01751124	2827678.92818829	4014204.28938994	1501660.71105668	1544328.57242363	2073065.10527438	1567844.38691405	1768509.46662786	5397400.02965013	561406.913782244	4715063.07462581	3521505.93758315	3829163.53913933	3544898.5428404	3266479.23914728	3458425.37970153	2641748.52752204	2623680.43492599	2237895.53745574	2063155.29888792	1824055.89039244
M115T246	2148463.09870313	5923106.08309782	3336603.53442101	593862.366829545	3978992.80323862	2646193.20186829	4820263.7063784	925195.498383699	4716222.52725173	426003.454312833	2361995.11457186	3658603.94985603	2825449.53980886	1324308.08283008	3513840.31776651	1971126.31239547	2443387.35872366	239543.090651001	2209315.09138107	184466.666201789	4468724.90897554	3314280.76204395	3529852.82680422	3023099.96369028	2863572.2584311	2093310.80794756	2199341.45531985	1518960.10010339	1366649.51125468	1085035.57513946
M117T264	2341671.30442197	10355799.8378915	2199169.83573633	584921.217797159	5831768.21965245	8032746.84924683	6979649.32149918	2430095.60210632	9370557.71109404	740452.930338629	3962786.63423291	8168806.0135	3777233.61142296	2149337.45859375	4714848.30776373	2856079.00783032	1276226.29245313	424297.294134851	2148272.73237262	634074.784477632	7117672.18029778	6391411.74894855	6804486.18132543	5805976.95176578	5714949.28032349	4334866.8861003	4458336.63113007	3184658.39858153	2907302.61524905	1431806.44502878
M117T128	977969.786400391	10472957.6037969	2784556.73695693	571308.46064039	9556349.74141562	7118026.89262413	5435295.45593678	1989003.54678464	4567338.47307191	2595716.23155697	6346691.7826985	12744005.7049519	3340584.1945376	3498897.84903255	5440421.57979121	2505978.29856034	3414234.05957175	354946.840158162	3182465.1088877	840287.479025512	8063978.4728346	6858731.71300696	6446571.08801553	5637461.25932012	5669653.00014335	4243057.47850393	4026245.5699862	3065549.97821953	2549151.99560188	1963146.74099744
M119T66	8317217.15557145	18467460.5687541	12060260.0028917	2593796.82713162	21245896.8192916	17360077.0610011	20818609.5727809	7540950.33499135	20034677.7811169	7169856.47710973	16186812.5683902	15251945.5248752	25034239.6579672	17779160.4959184	9172069.2989838	7136973.03002913	5450370.32136006	2784171.13886854	9876142.23380919	1756055.7622723	23702608.2762895	21569627.1849303	19547262.7309336	17764925.8002464	16767687.8912522	12099169.5553461	11106055.4156384	8535727.36139271	7237557.69352801	5076417.04867352
M120T62	206340.571127126	677302.231633746	368814.270025949	50441.1433351452	717242.737941753	753337.10322944	729350.01379447	245358.817664196	829413.954789949	304051.426969705	686602.852838373	697456.508761894	824557.800666922	586610.270627328	337319.654014467	223644.593284714	277052.73155472	81477.4341992839	305142.865950355	91998.6066511224	832910.873018703	734960.194350049	735882.415539246	642550.455396607	623570.681480957	490974.055766223	430663.434141276	332353.844986991	297352.574855382	143339.100603552
M121T322	114418.107398414	313652.622849291	794814.929793556	670852.197157408	613762.39839553	616243.465948311	797313.520955357	1529928.63909094	234516.142209032	99275.9354197997	1219771.51258013	586392.952909716	1079791.6603896	525212.867948486	294895.729674393	100125.529338429	164608.610241089	66044.5863234427	1645378.45938352	364079.451410981	674115.515126237	728289.768255425	722452.746458986	701113.889636364	750313.456196846	690334.164001929	690264.782713959	605779.226396201	565742.085934801	493770.234105231
M121T51	266602.846083264	370112.11962432	184469.5582875	92488.3997793196	528583.092918717	787896.3974334	204233.21883762	261322.046579196	392971.853150231	425864.72342537	162467.323784837	655048.593103294	111205.538446889	225082.313764655	339392.145763694	129734.557534915	63513.7616477063	39654.1915724633	146127.93155724	118145.089891317	650916.721109414	360358.421384062	357690.129213574	326134.902497749	512590.804481811	432637.991147596	248858.094422398	183825.115085443	188211.723250702	130859.493665349
M123T311	126769.000690263	1084723.4224364	291062.111167151	172261.744394252	1260648.37918623	1170366.64578635	725109.697768223	230800.509385129	365392.523979341	244311.784059393	152023.38832544	206755.979131138	899369.82744701	886545.892561147	887524.302895118	439510.485045848	201090.157893654	92021.1085783259	525588.558706595	248457.031383922	457880.489260031	578611.921968667	518993.157422194	588838.994272852	574782.25343164	541746.401440569	510093.875630896	495279.434170217	460609.405258974	378983.928057004
M124T54	419932.51989849	674982.296814857	111149.112117869	722154.554262498	205296.92416069	338039.745991368	392176.262206323	873238.72759189	312405.181515112	185330.226767759	325648.860967503	1248815.61452286	538467.524879428	37273.7704262579	288807.117694461	331229.550008088	72371.9194663312	66715.9014905816	292376.533529633	461496.211091328	324475.94459985	353379.720584248	352506.289559683	369654.672255913	367457.013657697	308876.503277549	290596.463642118	274230.48040661	244266.992798718	203071.974147533
M125T56	973374.827969891	1340715.33555827	1572061.0496655	1277870.61491094	3281244.3298053	893014.35948719	4041389.65999678	731640.978188828	1392474.88147031	368530.890006547	1721134.18306197	915480.220519731	3420987.60779074	2077038.71156228	2030801.49443723	968042.643275481	786026.09056001	505513.528666205	2824750.00778361	717709.326267008	2787860.91737303	2985846.52481384	2965522.75348909	3146631.06373742	3169012.33257482	2707795.98453602	2446046.97198592	2238868.35922205	2009562.76848776	1447016.53715665
M127T346	254468.661781584	325133.623779898	240196.824324877	168197.209204873	568608.683591043	309690.96254834	761021.971804914	625299.650873803	549095.28247306	132346.91632245	195863.852370536	225460.857176782	809251.617006226	174407.674506168	435271.281597629	262397.055339863	629567.137509151	66143.973825776	384003.963520938	76490.9429891215	701283.600067977	324411.590504992	299293.623258855	355976.821727634	329169.354558471	302537.628326172	285985.827465012	250780.727644042	239170.306685324	185244.049398743
M128T102	3453323.79126992	6647954.95280609	4904383.80654124	1908888.36626384	7079595.72772081	5523139.45428511	7916809.84037726	3048144.436459	7160745.2377295	2429550.80546421	6865283.56966967	5616011.10654408	7636138.61170592	7090079.70019872	5469287.11447545	3105032.57138353	4142087.69634682	1201601.73314915	4751368.19609324	1296953.34723646	9491694.30227745	9318509.93056369	8844243.10148137	8321994.72838314	8545411.17551662	6772428.61849556	6372161.57313188	4716693.81678509	4190243.51389445	3131428.13080461
M129T323	814556.091660644	4550369.19012468	1677907.92040891	3411847.19647106	2697821.98009378	5318300.59615722	5841100.36831214	1585305.50890902	4385846.35695524	738305.824003259	1212918.81123715	5146447.56835127	3067464.80488057	1644737.23861102	1532538.6721109	3535504.5808765	1104656.41666916	197883.921821755	1974937.03742381	394230.590540803	4637994.25240195	4485568.77294862	4416386.33853236	4493544.89116667	4452919.06404396	3771803.1129259	3348127.77079925	2783621.91727698	2369315.26117516	1673574.9075224
M129T188	115306.407817344	207029.685371668	4172965.51403926	67362.8997858448	1569277.64456828	752601.901665078	7596562.65391664	4193833.55238576	587954.920084852	74808.6799613444	13621257.1978925	5816953.30384821	1035895.86681047	345269.346793257	293179.200668088	214066.478688254	4226310.2172084	38825.9466351772	1154349.73590848	60027.0140885506	4323617.32859176	3572250.91433629	3888019.44580028	3360292.6136543	3323310.61375012	2618328.04040559	2565348.61383616	1957312.65990006	1615166.86011321	1273315.25701299
M129T108	1297844.24009605	7610065.36837439	4549153.4132275	1862844.74740188	8560521.05843603	7513561.40472745	10216892.7601543	4178860.66084148	8889448.07091881	1904893.67086194	7817141.87568542	8676288.27792422	10453491.7559948	6902798.06429882	6105071.7615387	6160526.75615	5458255.51348881	1326191.36066341	6665817.96237355	1438365.35135206	8427792.17925676	8296709.26688912	7561817.65234805	7330901.50872564	7421672.22002139	6629332.72630815	6280271.80058086	5012139.22788684	4818639.23448325	3868968.63029324
M131T284	6968340.52268126	15146889.6731651	5166708.09735763	773611.122888885	14344713.1669365	7714195.7703712	11366694.5403445	3406677.59847376	10275861.7612163	2869152.64506678	14954344.8708749	9786875.87226882	12714815.1396066	8016796.90019822	8552473.77787243	5202990.9925792	5275844.21593822	965975.786509401	11091730.7919713	1100702.87451821	15670720.5457975	12947644.9820323	13538776.0906731	11282719.3885737	11905055.4661762	8339043.57176136	7451482.07326959	6489032.7097726	4646033.86825484	3704697.79153857
M132T57	619530.953288008	870216.334701118	645926.018656111	452486.499133434	1014720.67097203	879727.025705333	712807.255623096	652540.997416048	1034121.1144765	935349.386116938	616478.277007401	1020707.78731369	1301703.88625658	2052457.47561995	1074763.16777443	1475402.23622548	539506.313805148	523326.391429966	630116.801622302	361775.184478352	1135967.40968055	1187506.09663191	1185347.97717488	1156386.92333861	1186666.72195228	981082.369179761	930881.063945542	810889.229882281	741377.075637171	559213.587869428
M133T89	2511622.80079352	1796837.41300287	6662677.57356403	5074583.37831676	14029739.9047032	1773900.69185005	19875660.1088699	2937698.11531465	2647740.23825358	1877718.56225622	10723501.8004057	4532086.90706461	3633010.07528173	1755398.07621501	2510069.52647821	1738189.91436745	3543278.91010029	347473.764768212	1453804.88604509	749724.877533645	6575937.40014656	6253046.40693335	5663901.03940292	4841680.79593199	4886297.03511907	3761498.31659183	3495624.58387496	2522191.06119809	1653625.37530498	1503883.19004481
M134T348	951108.797656185	2427481.26628532	1221142.72640752	1040116.98170553	2217351.05465727	5019401.36274434	1863611.97318351	2523270.53259115	1649685.67160347	1204420.8353939	1742558.03479759	2654033.77544955	1726491.33824863	1230931.58710258	1165339.94680503	671546.758125083	1197700.54818198	880685.171766409	2831654.1853631	1166480.01766104	1656084.17429267	1705919.07519837	1735882.47188561	1742172.04076286	1653848.91382222	1643496.89713814	1662477.82238295	1580769.97637222	1457786.08164166	1454285.72213187
M135T56	9243961.18340139	13084852.6394904	14035467.4595707	10133353.7028619	17488327.5379735	12157098.02709	12804778.8125278	11891370.8727292	14601237.2971676	7851365.40629985	7851531.51655277	10098947.9939199	18939325.1500674	17807889.6828379	13978397.5557099	11619239.8973989	11837762.0858194	6001626.68664728	19396224.5897941	5340564.94657938	13798374.5955041	14515141.8127573	14766126.291119	14908402.9220777	15561568.910727	13597881.0320286	13075328.1791628	11443603.111226	10667228.7595893	8420940.55267621
M136T56	260284.969316314	398785.004831805	443195.561932592	307721.699048001	562008.517409513	396717.513156042	376368.516662353	389474.606253083	484512.436359882	232232.482190736	229652.249893189	327511.883110258	701818.747253332	632429.040445435	490776.368436477	380887.119132779	389888.342792146	201834.203878517	732657.144548559	171576.905716871	423435.55509043	470075.60858719	466423.408235427	485959.024327656	524832.626093521	462764.160902114	457036.430830593	362575.374552116	366806.941973211	288155.316424519
M138T332	94205.6592358952	504902.24141901	113807.017047607	75774.6497321947	337801.523254565	275004.56515246	186103.522247148	164967.962084939	381446.835541857	149617.747403957	229213.734302644	345409.654576779	343446.791235851	363674.916115722	323158.81103357	266848.767194657	175218.894365013	48895.7486880748	315960.606429687	53482.3833359654	207521.69155	288024.538182683	320930.414698875	337510.982449219	252015.204254815	223111.038539848	270846.634900259	190160.066549445	269596.2583039	135781.124387178
M139T57	163135.963938365	213728.159778591	202605.711193922	184348.097106634	301128.356015927	194259.720674185	171267.151608953	196261.129567921	240796.004158862	145469.216636716	75914.2242190503	118258.04743679	412822.171147749	224675.361499476	258039.882166733	126066.326371707	131728.493267889	136431.057832437	330805.480703227	183465.111873546	250693.536131103	183061.711398033	253668.08035006	272298.448728742	250568.427101153	186747.366843035	183026.673403618	146359.680955541	143784.718497334	124729.278689415
M139T330	21975.1338331604	87108.447621053	330518.364852322	169773.220230469	251215.5820227	223097.398956872	768049.884971192	942775.354405146	613279.10972461	127855.149881608	1234191.61691791	2246112.00772958	730396.524447946	353785.648918945	90599.6659092231	147976.500484225	486443.089880285	72326.0348572591	137442.204445394	100422.219424477	531001.070385135	561655.504094238	555645.357503897	594096.91258163	620966.700308988	532704.828094804	503222.820309132	502626.258253886	466732.030191329	382375.428340184
M141T267	59036.4045731091	290126.136075705	613874.844517655	70140.5456684343	85236.5526078993	241152.756596777	1168573.79937001	1858617.67020756	3644824.94955795	71755.2269383196	2283320.61017513	2128519.59090521	76223.0815019837	94865.5399818204	51586.5193543889	177344.950769971	1106156.94695172	178543.976642319	130492.226898476	13085.7675304334	1697944.97075876	1533437.40288229	1631036.73755451	1356343.6795396	1385149.79739418	1071318.76586129	987830.411222134	817113.65238444	715320.304585733	516266.342814007
M142T179	714226.058081924	773745.55657755	1269331.2986777	881719.285894381	1742610.43219991	1463733.88741368	754384.108141674	185417.428832335	1264143.95449316	75186.4817235107	108399.620566451	433807.416136386	7341414.02509277	506213.783359375	556092.30956912	789257.777478292	325437.22965159	318345.46753961	2220112.87877527	361632.959618204	1001478.89561221	941766.191349121	1018419.60424016	922513.944006108	932302.253862559	792416.485703666	739813.190238499	623150.206832173	578534.442582019	441007.795041312
